TreeID,BlockID,InventoryDate,Street,HouseNumber,TreeNo.,SpeciesCode,CommonSpecies Names,Ownership,Location,Circumference,NumberofStems,%HardSurface,CrownWidth,TotalHeight,Heightclasses,Heighttobaseofcrown,UnbalancedCrown,ReducedHeight,WeakorYellowFoliage,Defoliation,DeadorBrokenBranch,PoorBranch Attachment,Lean,TrunkScars,BranchScar,Conks,RotorCavity-Trunk,RotorCavity-Branch,Crack,ConfinedSpace,GirdlingRoots,RecentTrenching,ConflictwithWires,ConflictwithStructure,ConflictwithSidewalk,Conflictwithanothrtree,ConflictwithTrafficSign,CableorBraching,Genus,Family,DBH,BasalArea,Deciduous/Evergreen,Treecondition,CrownProjectionArea,CrownProjectionIndex,HeritageValue,Heritage DBH,Heritageheight,PotentialHeritage,Comments,DatePlanted,STOCKTYPE,SIZE,STOCKCOST,NURSERY,INSPECTED,PRUNING,REMOVED,XCOOR,YCOOR,,,,,,,,,,,,
00311,003,39270,Willcocks,84,11,cedyel,Yellow Cedar,p,by,7,1,10,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,e,n,n,n,n,Cedar,Cypress,2,0,Evergreen,excellent,1,1,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00312,003,39270,Willcocks,84,12,horcom,Common Horsechestnut,c,st,235,1,45,9,22,4,18,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,e,n,n,e,n,n,Buckeye/Horsechestnut,Horsechestnut,75,0.442,Deciduous,good,64,51,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00313,003,39270,Willcocks,82,13,mapsil,Silver maple,c,st,93,1,30,9,14,3,11,1,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,e,n,n,n,e,n,Maple,Maple,30,0.071,Deciduous,very poor,64,53,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00314,003,39270,Willcocks,82,14,magnol,Magnolia,c,fy,27,3,100,4,7,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,n,e,n,n,n,n,Magnolia,Magnolia,9,0.006,Deciduous,excellent,13,9,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00315,003,39270,Willcocks,80,15,serspp,Serviceberry,c,st,28,2,0,3,5,1,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,p,n,n,n,n,n,Serviceberry,Rose,9,0.006,Deciduous,very poor,7,5,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00316,003,39270,Willcocks,78,16,mapnor,Norway Maple,c,st,94,1,40,11,13,3,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,e,n,n,e,n,n,Maple,Maple,30,0.071,Deciduous,excellent,95,84,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00317,003,39270,Willcocks,76,17,mapnor,Norway Maple,c,st,110,1,40,12,15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,n,n,n,Maple,Maple,35,0.096,Deciduous,excellent,113,99,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00318,003,39270,Willcocks,76,18,redbud,Canadian Redbud,c,fy,38,1,10,5,8,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,e,e,n,n,n,n,Redbud,Pea,12,0.011,Deciduous,excellent,20,16,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00319,003,39270,Willcocks,74,19,mapnor,Norway Maple,c,st,110,1,25,9,16,4,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,e,n,n,e,n,n,Maple,Maple,35,0.096,Deciduous,excellent,64,56,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00320,003,39270,Willcocks,72,20,appcra,Crabapple,c,fy,23,1,20,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,p,n,n,Apple/Crabapple,Rose,7,0.004,Deciduous,excellent,13,10,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00321,003,39270,Willcocks,72,21,mapnor,Norway Maple,c,st,115,1,55,12,15,3,12,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,e,e,n,n,n,n,Maple,Maple,37,0.108,Deciduous,excellent,113,99,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00322,003,39270,Willcocks,72,22,serspp,Serviceberry,p,fy,18,1,10,2,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,e,n,n,n,n,Serviceberry,Rose,6,0.003,Deciduous,excellent,3,2,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00323,003,39270,Willcocks,72,23,appcra,Crabapple,c,fy,39,1,50,5,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,p,n,n,Apple/Crabapple,Rose,12,0.011,Deciduous,excellent,20,16,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00324,003,39270,Willcocks,72,24,mapsil,Silver maple,c,st,205,1,40,12,20,4,14,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,e,n,n,e,n,n,Maple,Maple,65,0.332,Deciduous,good,113,94,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00325,003,39270,Willcocks,72,25,hackbe,Hackberry,c,st,34,1,5,5,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,p,p,n,Hackberry,Elm,11,0.01,Deciduous,excellent,20,18,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00326,003,39270,Willcocks,72,26,mapjap,Japanese Maple,p,fy,3,6,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,n,e,n,p,n,n,Maple,Maple,1,0,Deciduous,excellent,7,6,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00327,003,39270,Willcocks,72,27,serspp,Serviceberry,c,fy,16,1,20,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Serviceberry,Rose,5,0.002,Deciduous,excellent,3,2,#N/A,#N/A,#N/A,#N/A,Yum! Great jelly potential,,,,,,,,,,,,,,,,,,,,,,
00328,003,39270,Willcocks,72,28,appcra,Crabapple,p,fy,21,1,65,5,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,n,e,n,n,n,n,Apple/Crabapple,Rose,7,0.004,Deciduous,excellent,20,16,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00329,003,39270,Willcocks,72,29,ashwhi,White Ash,c,fy,169,1,60,13,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,p,n,n,Ash,Olive,54,0.229,Deciduous,excellent,133,112,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00330,003,39270,Willcocks,100,30,mapnor,Norway Maple,c,sy,80,1,15,7,14,3,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Maple,Maple,25,0.049,Deciduous,excellent,38,33,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00331,003,39270,Willcocks,100,31,linlit,Little Leaf Linden,c,sy,124,1,25,11,18,4,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,n,e,n,e,n,n,Linden/Basswood,Linden,39,0.119,Deciduous,excellent,95,84,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00332,003,39270,Willcocks,100,32,mapnor,Norway Maple,c,sy,106,1,40,7,16,4,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,n,e,n,e,n,n,Maple,Maple,34,0.091,Deciduous,excellent,38,33,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00333,003,39270,Willcocks,100,33,ashwhi,White Ash,c,sy,124,1,60,10,17,4,11,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,n,n,n,e,n,n,Ash,Olive,39,0.119,Deciduous,excellent,79,66,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00334,003,39270,Willcocks,100,34,cherspp,Cherry spp,p,by,13,2,10,2,3,1,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Cherry,Rose,4,0.001,Deciduous,good,3,2,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00335,003,39270,Willcocks,100,35,mapman,Manitoba Maple,p,by,270,1,50,11,15,3,11,2,0,0,0,1,1,3,3,3,0,2,0,0,0,0,0,e,e,n,e,n,e,Maple,Maple,86,0.581,Deciduous,very poor,95,82,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00336,003,39270,Willcocks,98,36,mapman,Manitoba Maple,p,by,152,2,35,15,20,4,15,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,e,e,n,e,n,n,Maple,Maple,48,0.181,Deciduous,excellent,177,152,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00337,003,39270,Willcocks,96,37,rose of sharon,Rose of Sharon,p,by,8,2,0,2,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Hibiscus,Mallow,3,0.001,Deciduous,good,3,2,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00338,003,39270,Willcocks,94,38,mapsug,Sugar Maple,p,by,16,1,5,4,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Maple,Maple,5,0.002,Deciduous,excellent,13,11,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00339,003,39270,Willcocks,94,39,cherspp,Cherry spp,p,by,34,1,0,3,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,n,n,n,n,n,n,Cherry,Rose,11,0.01,Deciduous,good,7,6,#N/A,#N/A,#N/A,#N/A,"cracking at graft, at DBH",,,,,,,,,,,,,,,,,,,,,,
00340,003,39270,Willcocks,94,40,mapman,Manitoba Maple,p,by,102,2,10,10,15,3,10,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,n,e,n,e,n,n,Maple,Maple,32,0.08,Deciduous,very poor,79,68,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00341,003,39270,Willcocks,92,41,liljap,Japanese Lilac,p,by,45,2,30,5,9,2,6,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,n,e,n,e,n,n,Lilac,Olive,14,0.015,Deciduous,good,20,16,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00342,003,39270,Willcocks,94,42,mapman,Manitoba Maple,p,by,104,1,0,9,15,3,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Maple,Maple,33,0.086,Deciduous,very poor,64,55,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00343,003,39270,Willcocks,92,43,hemeas,Eastern Hemlock,p,by,9,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,n,e,n,n,Hemlock,Pine,3,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00344,003,39270,Willcocks,90,44,mapman,Manitoba Maple,p,by,72,1,0,7,21,4,16,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,n,n,e,e,n,n,Maple,Maple,23,0.042,Deciduous,very poor,38,33,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00345,003,39270,Willcocks,90,45,mapman,Manitoba Maple,p,by,61,1,0,7,5,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,n,n,e,e,n,n,Maple,Maple,19,0.028,Deciduous,very poor,38,33,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00346,003,39270,Willcocks,90,46,mapman,Manitoba Maple,p,by,101,4,0,7,21,4,16,0,0,0,0,0,2,3,0,2,0,1,0,0,0,0,0,e,n,e,e,n,n,Maple,Maple,32,0.08,Deciduous,very poor,38,33,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00347,003,39270,Willcocks,90,47,mapman,Manitoba Maple,p,by,128,1,0,10,6,2,11,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,e,n,n,e,n,n,Maple,Maple,41,0.132,Deciduous,good,79,68,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00348,003,39270,Willcocks,88,48,DEAD,DEAD,p,by,102,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,DEAD,DEAD,32,0.08,DEAD,excellent,0,0,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00349,003,39270,Willcocks,88,49,rose of sharon,Rose of Sharon,p,by,11,15,50,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Hibiscus,Mallow,4,0.001,Deciduous,excellent,7,5,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00350,003,39270,Willcocks,88,50,lilac,Lilac,p,by,15,3,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Lilac,Olive,5,0.002,Deciduous,excellent,3,2,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00351,003,39270,Willcocks,88,51,lilac,Lilac,p,by,13,2,0,1,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Lilac,Olive,4,0.001,Deciduous,excellent,1,1,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00352,003,39270,Willcocks,88,52,lilac,Lilac,p,by,15,6,0,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Lilac,Olive,5,0.002,Deciduous,excellent,3,2,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,
00353,003,39270,Spadina,600,53,mapnor,Norway Maple,p,by,215,1,0,17,25,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,e,n,n,e,n,n,Maple,Maple,68,0.363,Deciduous,excellent,227,200,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00354,003,45480,Spadina,602,54,mapman,Manitoba Maple,p,by,162,1,50+,10,16,4,9,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,n,n,n,e,n,n,Maple,Maple,52,0.212,Deciduous,very poor,79,68,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00355,003,45480,Spadina,602,55,mapman,Manitoba Maple,p,by,190,1,50,10,21,4,13,2,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,n,n,n,e,n,n,Maple,Maple,61,0.283,Deciduous,very poor,79,68,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00356,003,45480,Spadina,604/606,56,mapman,Manitoba Maple,p,by,300,1,50,12,17,4,9,2,0,0,0,3,2,3,3,2,0,0,0,1,2,0,0,e,n,n,e,n,n,Maple,Maple,96,0.709,Deciduous,very poor,113,97,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00357,003,45480,Spadina,604/606,57,mapman,Manitoba Maple,p,by,250,1,50,18,25,4,8,1,0,0,0,0,2,3,0,1,0,0,0,2,0,0,0,e,n,n,e,n,n,Maple,Maple,80,0.503,Deciduous,very poor,254,218,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00358,003,45480,Spadina,604/606,58,mulwhi,White Mulberry,p,by,18,2,50,4,5,1,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Mulberry,Mulberry,6,0.003,Deciduous,excellent,13,10,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00359,003,45480,Spadina,604/606,59,mapnor,Norway Maple,p,by,17,1,50,4,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Maple,Maple,5,0.002,Deciduous,excellent,13,11,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00360,003,45480,Spadina,604/606,60,mulwhi,White Mulberry,p,by,24,1,50,4,7,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,e,n,n,e,n,n,Mulberry,Mulberry,8,0.005,Deciduous,excellent,13,10,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00361,003,45480,Spadina,604/606,61,mapman,Manitoba Maple,p,by,240,1,50,16,26,4,14,1,0,0,0,0,0,2,1,2,1,1,2,1,0,0,0,e,n,n,e,n,n,Maple,Maple,76,0.454,Deciduous,very poor,201,172,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
00362,003,45480,Spadina,606,62,ashwhi,White Ash,p,by,25,1,0,3,8,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,e,n,n,e,n,n,Ash,Olive,8,0.005,Deciduous,excellent,7,6,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00363,003,45480,Spadina,606,63,cedwhi,White Cedar,p, by,14,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00364,003,45480,Spadina,606,64,cedwhi,White Cedar,p,by,10,1,5,1,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,3,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00365,003,45480,Spadina,606,65,cedwhi,White Cedar,p,by,12,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00366,003,45480,Spadina,606,66,cedwhi,White Cedar,p,by,12,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00367,003,45480,Spadina,606,67,cedwhi,White Cedar,p,by,12,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00368,003,45480,Spadina,606,68,cedwhi,White Cedar,p,by,13,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00369,003,45480,Spadina,606,69,cedwhi,White Cedar,p,by,13,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00370,003,45480,Spadina,606,70,cedwhi,White Cedar,p,by,12,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00371,003,45480,Spadina,606,71,cedwhi,White Cedar,p,by,14,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00372,003,45480,Spadina,606/608,72,cedwhi,White Cedar,p,by,11,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00373,003,45480,Spadina,606/608,73,cedwhi,White Cedar,p,by,13,1,5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00374,003,45480,Spadina,606/608,74,cedwhi,White Cedar,p,by,14,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00375,003,45480,Spadina,606/608,75,cedwhi,White Cedar,p,by,13,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00376,003,45480,Spadina,606/608,76,cedwhi,White Cedar,p,by,11,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00377,003,45480,Spadina,606/608,77,cedwhi,White Cedar,p,by,13,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00378,003,45480,Spadina,606/608,78,cedwhi,White Cedar,p,by,14,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
00379,003,45480,Spadina,606/608,79,cedwhi,White Cedar,p,by,13,1,5,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,n,n,e,n,n,Cedar,Cypress,4,0.001,Evergreen,excellent,1,1,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
